,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,4
2,1,0,0,0,2,0,0,0,0,2
3,1,0,1,0,2,0,0,0,0,1
4,1,2,1,0,2,0,0,0,0,7
5,1,2,1,0,2,0,0,1,0,5
6,1,2,1,0,2,2,0,1,0,3
7,1,2,1,1,2,2,0,1,0,6
8,1,2,1,1,2,2,2,1,0,8
9,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,4
11,1,0,0,0,2,0,0,0,0,6
12,1,0,0,0,2,0,1,0,0,3
13,1,0,0,2,2,0,1,0,0,1
14,1,1,0,2,2,0,1,0,0,2
15,1,1,2,2,2,0,1,0,0,5
16,1,1,2,2,2,1,1,0,0,8
17,1,1,2,2,2,1,1,0,2,7
18,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,4
20,1,0,0,0,2,0,0,0,0,2
21,1,0,1,0,2,0,0,0,0,1
22,1,2,1,0,2,0,0,0,0,3
23,1,2,1,1,2,0,0,0,0,6
24,1,2,1,1,2,0,2,0,0,7
25,1,2,1,1,2,0,2,1,0,8
26,1,2,1,1,2,0,2,1,2,5
27,0,0,0,0,0,0,0,0,0,2
28,0,0,1,0,0,0,0,0,0,0
29,2,0,1,0,0,0,0,0,0,4
30,2,0,1,0,1,0,0,0,0,6
31,2,0,1,0,1,0,2,0,0,3
32,2,0,1,1,1,0,2,0,0,5
33,2,0,1,1,1,2,2,0,0,7
34,2,0,1,1,1,2,2,1,0,1
35,2,2,1,1,1,2,2,1,0,8
36,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0,4
38,1,0,0,0,2,0,0,0,0,6
39,1,0,0,0,2,0,1,0,0,3
40,1,0,0,2,2,0,1,0,0,5
41,1,0,0,2,2,1,1,0,0,7
42,1,0,0,2,2,1,1,2,0,1
43,1,1,0,2,2,1,1,2,0,2
44,1,1,2,2,2,1,1,2,0,8
45,0,0,0,0,0,0,0,0,0,6
46,0,0,0,0,0,0,1,0,0,0
47,2,0,0,0,0,0,1,0,0,4
48,2,0,0,0,1,0,1,0,0,2
49,2,0,2,0,1,0,1,0,0,1
50,2,1,2,0,1,0,1,0,0,7
51,2,1,2,0,1,0,1,2,0,3
52,2,1,2,1,1,0,1,2,0,5
53,2,1,2,1,1,2,1,2,0,8
54,0,0,0,0,0,0,0,0,0,2
55,0,0,1,0,0,0,0,0,0,0
56,2,0,1,0,0,0,0,0,0,4
57,2,0,1,0,1,0,0,0,0,6
58,2,0,1,0,1,0,2,0,0,3
59,2,0,1,1,1,0,2,0,0,5
60,2,0,1,1,1,2,2,0,0,1
61,2,1,1,1,1,2,2,0,0,7
62,2,1,1,1,1,2,2,2,0,8
63,0,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,4
65,1,0,0,0,2,0,0,0,0,6
66,1,0,0,0,2,0,1,0,0,3
67,1,0,0,2,2,0,1,0,0,7
68,1,0,0,2,2,0,1,1,0,5
69,0,0,0,0,0,0,0,0,0,1
70,0,1,0,0,0,0,0,0,0,4
71,0,1,0,0,2,0,0,0,0,0
72,1,1,0,0,2,0,0,0,0,2
73,1,1,2,0,2,0,0,0,0,6
74,1,1,2,0,2,0,1,0,0,3
75,1,1,2,2,2,0,1,0,0,5
76,1,1,2,2,2,1,1,0,0,8
77,1,1,2,2,2,1,1,0,2,7
78,0,0,0,0,0,0,0,0,0,6
79,0,0,0,0,0,0,1,0,0,4
80,0,0,0,0,2,0,1,0,0,0
81,1,0,0,0,2,0,1,0,0,3
82,1,0,0,2,2,0,1,0,0,5
83,1,0,0,2,2,1,1,0,0,1
84,1,2,0,2,2,1,1,0,0,7
85,1,2,0,2,2,1,1,1,0,8
86,1,2,0,2,2,1,1,1,2,2
87,0,0,0,0,0,0,0,0,0,3
88,0,0,0,1,0,0,0,0,0,4
89,0,0,0,1,2,0,0,0,0,0
90,1,0,0,1,2,0,0,0,0,6
91,1,0,0,1,2,0,2,0,0,2
92,1,0,1,1,2,0,2,0,0,1
93,1,2,1,1,2,0,2,0,0,7
94,1,2,1,1,2,0,2,1,0,5
95,1,2,1,1,2,2,2,1,0,8
96,0,0,0,0,0,0,0,0,0,6
97,0,0,0,0,0,0,1,0,0,0
98,2,0,0,0,0,0,1,0,0,1
99,2,1,0,0,0,0,1,0,0,4
100,2,1,0,0,2,0,1,0,0,8
101,2,1,0,0,2,0,1,0,1,5
102,2,1,0,0,2,2,1,0,1,3
103,2,1,0,1,2,2,1,0,1,7
104,2,1,0,1,2,2,1,2,1,2
105,0,0,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,4
107,1,0,0,0,2,0,0,0,0,6
108,1,0,0,0,2,0,1,0,0,3
109,1,0,0,2,2,0,1,0,0,7
110,1,0,0,2,2,0,1,1,0,5
111,0,0,0,0,0,0,0,0,0,2
112,0,0,1,0,0,0,0,0,0,0
113,2,0,1,0,0,0,0,0,0,4
114,2,0,1,0,1,0,0,0,0,6
115,2,0,1,0,1,0,2,0,0,3
116,2,0,1,1,1,0,2,0,0,5
117,2,0,1,1,1,2,2,0,0,7
118,2,0,1,1,1,2,2,1,0,1
119,2,2,1,1,1,2,2,1,0,8
120,0,0,0,0,0,0,0,0,0,3
121,0,0,0,1,0,0,0,0,0,4
122,0,0,0,1,2,0,0,0,0,6
123,0,0,0,1,2,0,1,0,0,0
124,2,0,0,1,2,0,1,0,0,8
125,2,0,0,1,2,0,1,0,1,1
126,2,2,0,1,2,0,1,0,1,7
127,0,0,0,0,0,0,0,0,0,6
128,0,0,0,0,0,0,1,0,0,0
129,2,0,0,0,0,0,1,0,0,2
130,2,0,1,0,0,0,1,0,0,4
131,2,0,1,0,2,0,1,0,0,8
132,2,0,1,0,2,0,1,0,1,5
133,2,0,1,0,2,2,1,0,1,3
134,2,0,1,1,2,2,1,0,1,7
135,2,0,1,1,2,2,1,2,1,1
136,0,0,0,0,0,0,0,0,0,4
137,0,0,0,0,1,0,0,0,0,0
138,2,0,0,0,1,0,0,0,0,6
139,2,0,0,0,1,0,1,0,0,2
140,2,0,2,0,1,0,1,0,0,1
141,2,1,2,0,1,0,1,0,0,7
142,2,1,2,0,1,0,1,2,0,5
143,2,1,2,0,1,1,1,2,0,3
144,2,1,2,2,1,1,1,2,0,8
145,0,0,0,0,0,0,0,0,0,4
146,0,0,0,0,1,0,0,0,0,0
147,2,0,0,0,1,0,0,0,0,3
148,2,0,0,1,1,0,0,0,0,5
149,2,0,0,1,1,2,0,0,0,1
150,2,1,0,1,1,2,0,0,0,7
151,2,1,0,1,1,2,0,2,0,6
152,2,1,0,1,1,2,1,2,0,2
153,2,1,2,1,1,2,1,2,0,8
154,0,0,0,0,0,0,0,0,0,7
155,0,0,0,0,0,0,0,1,0,4
156,0,0,0,0,2,0,0,1,0,0
157,1,0,0,0,2,0,0,1,0,2
158,1,0,2,0,2,0,0,1,0,6
159,1,0,2,0,2,0,1,1,0,3
160,1,0,2,2,2,0,1,1,0,5
161,1,0,2,2,2,1,1,1,0,8
162,1,0,2,2,2,1,1,1,2,1
163,0,0,0,0,0,0,0,0,0,8
164,0,0,0,0,0,0,0,0,1,0
165,2,0,0,0,0,0,0,0,1,4
166,2,0,0,0,1,0,0,0,1,6
167,2,0,0,0,1,0,2,0,1,3
168,2,0,0,1,1,0,2,0,1,1
169,2,2,0,1,1,0,2,0,1,2
170,2,2,1,1,1,0,2,0,1,5
171,2,2,1,1,1,2,2,0,1,7
172,0,0,0,0,0,0,0,0,0,6
173,0,0,0,0,0,0,1,0,0,0
174,2,0,0,0,0,0,1,0,0,4
175,2,0,0,0,1,0,1,0,0,2
176,2,0,2,0,1,0,1,0,0,1
177,2,1,2,0,1,0,1,0,0,7
178,2,1,2,0,1,0,1,2,0,5
179,2,1,2,0,1,1,1,2,0,3
180,2,1,2,2,1,1,1,2,0,8
181,0,0,0,0,0,0,0,0,0,6
182,0,0,0,0,0,0,1,0,0,4
183,0,0,0,0,2,0,1,0,0,3
184,0,0,0,1,2,0,1,0,0,0
185,2,0,0,1,2,0,1,0,0,8
186,2,0,0,1,2,0,1,0,1,1
187,2,2,0,1,2,0,1,0,1,2
188,2,2,1,1,2,0,1,0,1,7
189,0,0,0,0,0,0,0,0,0,4
190,0,0,0,0,1,0,0,0,0,0
191,2,0,0,0,1,0,0,0,0,6
192,2,0,0,0,1,0,1,0,0,2
193,2,0,2,0,1,0,1,0,0,1
194,2,1,2,0,1,0,1,0,0,7
195,2,1,2,0,1,0,1,2,0,5
196,2,1,2,0,1,1,1,2,0,3
197,2,1,2,2,1,1,1,2,0,8
198,0,0,0,0,0,0,0,0,0,4
199,0,0,0,0,1,0,0,0,0,0
200,2,0,0,0,1,0,0,0,0,7
201,2,0,0,0,1,0,0,1,0,6
202,2,0,0,0,1,0,2,1,0,3
203,2,0,0,1,1,0,2,1,0,1
204,2,2,0,1,1,0,2,1,0,2
205,2,2,1,1,1,0,2,1,0,5
206,2,2,1,1,1,2,2,1,0,8
207,0,0,0,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,0,0,4
209,1,0,0,0,2,0,0,0,0,2
210,1,0,1,0,2,0,0,0,0,1
211,1,2,1,0,2,0,0,0,0,8
212,1,2,1,0,2,0,0,0,1,7
213,0,0,0,0,0,0,0,0,0,4
214,0,0,0,0,1,0,0,0,0,0
215,2,0,0,0,1,0,0,0,0,6
216,2,0,0,0,1,0,1,0,0,2
217,2,0,2,0,1,0,1,0,0,1
218,2,1,2,0,1,0,1,0,0,7
219,2,1,2,0,1,0,1,2,0,5
220,2,1,2,0,1,1,1,2,0,3
221,2,1,2,2,1,1,1,2,0,8
222,0,0,0,0,0,0,0,0,0,4
223,0,0,0,0,1,0,0,0,0,0
224,2,0,0,0,1,0,0,0,0,1
225,2,1,0,0,1,0,0,0,0,7
226,2,1,0,0,1,0,0,2,0,6
227,2,1,0,0,1,0,1,2,0,2
228,2,1,2,0,1,0,1,2,0,3
229,2,1,2,1,1,0,1,2,0,5
230,2,1,2,1,1,2,1,2,0,8
231,0,0,0,0,0,0,0,0,0,4
232,0,0,0,0,1,0,0,0,0,0
233,2,0,0,0,1,0,0,0,0,2
234,2,0,1,0,1,0,0,0,0,6
235,2,0,1,0,1,0,2,0,0,3
236,2,0,1,1,1,0,2,0,0,5
237,2,0,1,1,1,2,2,0,0,7
238,2,0,1,1,1,2,2,1,0,1
239,2,2,1,1,1,2,2,1,0,8
240,0,0,0,0,0,0,0,0,0,6
241,0,0,0,0,0,0,1,0,0,0
242,2,0,0,0,0,0,1,0,0,1
243,2,1,0,0,0,0,1,0,0,4
244,2,1,0,0,2,0,1,0,0,8
245,2,1,0,0,2,0,1,0,1,5
246,2,1,0,0,2,2,1,0,1,3
247,2,1,0,1,2,2,1,0,1,7
248,2,1,0,1,2,2,1,2,1,2
249,0,0,0,0,0,0,0,0,0,0
250,1,0,0,0,0,0,0,0,0,4
251,1,0,0,0,2,0,0,0,0,2
252,1,0,1,0,2,0,0,0,0,1
253,1,2,1,0,2,0,0,0,0,7
254,1,2,1,0,2,0,0,1,0,5
255,1,2,1,0,2,2,0,1,0,3
256,1,2,1,1,2,2,0,1,0,6
257,1,2,1,1,2,2,2,1,0,8
