,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,4
2,1,0,0,0,2,0,0,0,0,1
3,1,1,0,0,2,0,0,0,0,2
4,1,1,2,0,2,0,0,0,0,6
5,1,1,2,0,2,0,1,0,0,3
6,1,1,2,2,2,0,1,0,0,5
7,1,1,2,2,2,1,1,0,0,7
8,1,1,2,2,2,1,1,2,0,8
9,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,4
11,1,0,0,0,2,0,0,0,0,6
12,1,0,0,0,2,0,1,0,0,3
13,1,0,0,2,2,0,1,0,0,1
14,1,1,0,2,2,0,1,0,0,2
15,1,1,2,2,2,0,1,0,0,5
16,1,1,2,2,2,1,1,0,0,7
17,1,1,2,2,2,1,1,2,0,8
18,0,0,0,0,0,0,0,0,0,4
19,0,0,0,0,1,0,0,0,0,0
20,2,0,0,0,1,0,0,0,0,2
21,2,0,1,0,1,0,0,0,0,6
22,2,0,1,0,1,0,2,0,0,3
23,2,0,1,1,1,0,2,0,0,5
24,2,0,1,1,1,2,2,0,0,7
25,2,0,1,1,1,2,2,1,0,1
26,2,2,1,1,1,2,2,1,0,8
27,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,4
29,1,0,0,0,2,0,0,0,0,6
30,1,0,0,0,2,0,1,0,0,3
31,1,0,0,2,2,0,1,0,0,1
32,1,1,0,2,2,0,1,0,0,2
33,1,1,2,2,2,0,1,0,0,5
34,1,1,2,2,2,1,1,0,0,7
35,1,1,2,2,2,1,1,2,0,8
36,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0,4
38,1,0,0,0,2,0,0,0,0,2
39,1,0,1,0,2,0,0,0,0,1
40,1,2,1,0,2,0,0,0,0,3
41,1,2,1,1,2,0,0,0,0,6
42,1,2,1,1,2,0,2,0,0,7
43,1,2,1,1,2,0,2,1,0,8
44,1,2,1,1,2,0,2,1,2,5
45,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,4
47,1,0,0,0,2,0,0,0,0,6
48,1,0,0,0,2,0,1,0,0,3
49,1,0,0,2,2,0,1,0,0,1
50,1,1,0,2,2,0,1,0,0,2
51,1,1,2,2,2,0,1,0,0,5
52,1,1,2,2,2,1,1,0,0,8
53,1,1,2,2,2,1,1,0,2,7
54,0,0,0,0,0,0,0,0,0,6
55,0,0,0,0,0,0,1,0,0,4
56,0,0,0,0,2,0,1,0,0,0
57,1,0,0,0,2,0,1,0,0,3
58,1,0,0,2,2,0,1,0,0,5
59,1,0,0,2,2,1,1,0,0,7
60,1,0,0,2,2,1,1,2,0,1
61,1,1,0,2,2,1,1,2,0,2
62,1,1,2,2,2,1,1,2,0,8
63,0,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,4
65,1,0,0,0,2,0,0,0,0,6
66,1,0,0,0,2,0,1,0,0,3
67,1,0,0,2,2,0,1,0,0,1
68,1,1,0,2,2,0,1,0,0,2
69,1,1,2,2,2,0,1,0,0,5
70,1,1,2,2,2,1,1,0,0,7
71,1,1,2,2,2,1,1,2,0,8
72,0,0,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,0,4
74,1,0,0,0,2,0,0,0,0,6
75,1,0,0,0,2,0,1,0,0,3
76,1,0,0,2,2,0,1,0,0,1
77,1,1,0,2,2,0,1,0,0,2
78,1,1,2,2,2,0,1,0,0,5
79,1,1,2,2,2,1,1,0,0,7
80,1,1,2,2,2,1,1,2,0,8
81,0,0,0,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0,0,4
83,1,0,0,0,2,0,0,0,0,6
84,1,0,0,0,2,0,1,0,0,3
85,1,0,0,2,2,0,1,0,0,5
86,1,0,0,2,2,1,1,0,0,7
87,1,0,0,2,2,1,1,2,0,1
88,1,1,0,2,2,1,1,2,0,2
89,1,1,2,2,2,1,1,2,0,8
90,0,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,4
92,1,0,0,0,2,0,0,0,0,6
93,1,0,0,0,2,0,1,0,0,3
94,1,0,0,2,2,0,1,0,0,1
95,1,1,0,2,2,0,1,0,0,2
96,1,1,2,2,2,0,1,0,0,5
97,1,1,2,2,2,1,1,0,0,7
98,1,1,2,2,2,1,1,2,0,8
99,0,0,0,0,0,0,0,0,0,6
100,0,0,0,0,0,0,1,0,0,0
101,2,0,0,0,0,0,1,0,0,4
102,2,0,0,0,1,0,1,0,0,2
103,2,0,2,0,1,0,1,0,0,1
104,2,1,2,0,1,0,1,0,0,7
105,2,1,2,0,1,0,1,2,0,3
106,2,1,2,1,1,0,1,2,0,5
107,2,1,2,1,1,2,1,2,0,8
108,0,0,0,0,0,0,0,0,0,2
109,0,0,1,0,0,0,0,0,0,0
110,2,0,1,0,0,0,0,0,0,3
111,2,0,1,1,0,0,0,0,0,4
112,2,0,1,1,2,0,0,0,0,8
113,2,0,1,1,2,0,0,0,1,7
114,2,0,1,1,2,0,0,2,1,1
115,2,1,1,1,2,0,0,2,1,5
116,2,1,1,1,2,2,0,2,1,6
117,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0,0,0,4
119,1,0,0,0,2,0,0,0,0,2
120,1,0,1,0,2,0,0,0,0,1
121,1,2,1,0,2,0,0,0,0,3
122,1,2,1,1,2,0,0,0,0,6
123,1,2,1,1,2,0,2,0,0,7
124,1,2,1,1,2,0,2,1,0,8
125,1,2,1,1,2,0,2,1,2,5
126,0,0,0,0,0,0,0,0,0,6
127,0,0,0,0,0,0,1,0,0,0
128,2,0,0,0,0,0,1,0,0,4
129,2,0,0,0,1,0,1,0,0,2
130,2,0,2,0,1,0,1,0,0,1
131,2,1,2,0,1,0,1,0,0,7
132,2,1,2,0,1,0,1,2,0,3
133,2,1,2,1,1,0,1,2,0,5
134,2,1,2,1,1,2,1,2,0,8
135,0,0,0,0,0,0,0,0,0,4
136,0,0,0,0,1,0,0,0,0,0
137,2,0,0,0,1,0,0,0,0,2
138,2,0,1,0,1,0,0,0,0,6
139,2,0,1,0,1,0,2,0,0,3
140,2,0,1,1,1,0,2,0,0,5
141,2,0,1,1,1,2,2,0,0,1
142,2,1,1,1,1,2,2,0,0,7
143,2,1,1,1,1,2,2,2,0,8
144,0,0,0,0,0,0,0,0,0,0
145,1,0,0,0,0,0,0,0,0,4
146,1,0,0,0,2,0,0,0,0,2
147,1,0,1,0,2,0,0,0,0,1
148,1,2,1,0,2,0,0,0,0,3
149,1,2,1,1,2,0,0,0,0,6
150,1,2,1,1,2,0,2,0,0,7
151,1,2,1,1,2,0,2,1,0,8
152,1,2,1,1,2,0,2,1,2,5
153,0,0,0,0,0,0,0,0,0,1
154,0,1,0,0,0,0,0,0,0,0
155,2,1,0,0,0,0,0,0,0,4
156,2,1,0,0,1,0,0,0,0,7
157,2,1,0,0,1,0,0,2,0,3
158,2,1,0,1,1,0,0,2,0,5
159,2,1,0,1,1,2,0,2,0,6
160,2,1,0,1,1,2,1,2,0,2
161,2,1,2,1,1,2,1,2,0,8
162,0,0,0,0,0,0,0,0,0,4
163,0,0,0,0,1,0,0,0,0,0
164,2,0,0,0,1,0,0,0,0,1
165,2,1,0,0,1,0,0,0,0,7
166,2,1,0,0,1,0,0,2,0,6
167,2,1,0,0,1,0,1,2,0,2
168,2,1,2,0,1,0,1,2,0,5
169,2,1,2,0,1,1,1,2,0,3
170,2,1,2,2,1,1,1,2,0,8
171,0,0,0,0,0,0,0,0,0,4
172,0,0,0,0,1,0,0,0,0,0
173,2,0,0,0,1,0,0,0,0,6
174,2,0,0,0,1,0,1,0,0,2
175,2,0,2,0,1,0,1,0,0,1
176,2,1,2,0,1,0,1,0,0,7
177,2,1,2,0,1,0,1,2,0,5
178,2,1,2,0,1,1,1,2,0,3
179,2,1,2,2,1,1,1,2,0,8
180,0,0,0,0,0,0,0,0,0,4
181,0,0,0,0,1,0,0,0,0,0
182,2,0,0,0,1,0,0,0,0,3
183,2,0,0,1,1,0,0,0,0,2
184,2,0,2,1,1,0,0,0,0,1
185,2,1,2,1,1,0,0,0,0,5
186,2,1,2,1,1,2,0,0,0,7
187,0,0,0,0,0,0,0,0,0,0
188,1,0,0,0,0,0,0,0,0,4
189,1,0,0,0,2,0,0,0,0,6
190,1,0,0,0,2,0,1,0,0,3
191,1,0,0,2,2,0,1,0,0,1
192,1,1,0,2,2,0,1,0,0,2
193,1,1,2,2,2,0,1,0,0,5
194,1,1,2,2,2,1,1,0,0,7
195,1,1,2,2,2,1,1,2,0,8
196,0,0,0,0,0,0,0,0,0,0
197,1,0,0,0,0,0,0,0,0,4
198,1,0,0,0,2,0,0,0,0,2
199,1,0,1,0,2,0,0,0,0,1
200,1,2,1,0,2,0,0,0,0,7
201,1,2,1,0,2,0,0,1,0,3
202,1,2,1,2,2,0,0,1,0,5
203,1,2,1,2,2,1,0,1,0,8
204,1,2,1,2,2,1,0,1,2,6
205,0,0,0,0,0,0,0,0,0,0
206,1,0,0,0,0,0,0,0,0,4
207,1,0,0,0,2,0,0,0,0,8
208,1,0,0,0,2,0,0,0,1,2
209,1,0,2,0,2,0,0,0,1,6
210,1,0,2,0,2,0,1,0,1,3
211,1,0,2,2,2,0,1,0,1,5
212,1,0,2,2,2,1,1,0,1,7
213,1,0,2,2,2,1,1,2,1,1
214,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0,4
216,1,0,0,0,2,0,0,0,0,2
217,1,0,1,0,2,0,0,0,0,1
218,1,2,1,0,2,0,0,0,0,7
219,1,2,1,0,2,0,0,1,0,5
220,1,2,1,0,2,2,0,1,0,3
221,1,2,1,1,2,2,0,1,0,6
222,1,2,1,1,2,2,2,1,0,8
223,0,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,0,4
225,1,0,0,0,2,0,0,0,0,6
226,1,0,0,0,2,0,1,0,0,3
227,1,0,0,2,2,0,1,0,0,1
228,1,1,0,2,2,0,1,0,0,2
229,1,1,2,2,2,0,1,0,0,5
230,1,1,2,2,2,1,1,0,0,7
231,1,1,2,2,2,1,1,2,0,8
232,0,0,0,0,0,0,0,0,0,7
233,0,0,0,0,0,0,0,1,0,4
234,0,0,0,0,2,0,0,1,0,2
235,0,0,1,0,2,0,0,1,0,0
236,2,0,1,0,2,0,0,1,0,8
237,2,0,1,0,2,0,0,1,1,3
238,2,0,1,2,2,0,0,1,1,6
239,0,0,0,0,0,0,0,0,0,4
240,0,0,0,0,1,0,0,0,0,0
241,2,0,0,0,1,0,0,0,0,6
242,2,0,0,0,1,0,1,0,0,2
243,2,0,2,0,1,0,1,0,0,1
244,2,1,2,0,1,0,1,0,0,7
245,2,1,2,0,1,0,1,2,0,5
246,2,1,2,0,1,1,1,2,0,3
247,2,1,2,2,1,1,1,2,0,8
248,0,0,0,0,0,0,0,0,0,4
249,0,0,0,0,1,0,0,0,0,0
250,2,0,0,0,1,0,0,0,0,2
251,2,0,1,0,1,0,0,0,0,6
252,2,0,1,0,1,0,2,0,0,3
253,2,0,1,1,1,0,2,0,0,5
254,2,0,1,1,1,2,2,0,0,7
255,2,0,1,1,1,2,2,1,0,1
256,2,2,1,1,1,2,2,1,0,8
257,0,0,0,0,0,0,0,0,0,5
